DivisionName,a1,a1?,a2,a3,a4,B1,b2,b3,b4,c1,c2,c3,d1,d2,e,??,Unknown,Grand Total
Saugor Division,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,78.0%,22.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%
Singhbhoom,0.0%,0.0%,11.0%,83.0%,0.0%,0.0%,0.0%,0.0%,0.0%,6.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%
Sittang,80.0%,0.0%,16.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,3.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%
Southern Division,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,90.0%,10.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%
Sunderbans,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%
Sutlej,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%
Tavoy,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%
Tezpur,0.0%,0.0%,2.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,75.0%,0.0%,23.0%,0.0%,0.0%,0.0%,1.0%,100.0%
Tharrawaddie,49.0%,0.0%,40.0%,0.0%,0.0%,0.0%,3.0%,0.0%,0.0%,3.0%,0.0%,0.0%,0.0%,0.0%,0.0%,5.0%,0.0%,100.0%
Grand Total,11.0%,3.0%,6.0%,6.0%,1.0%,0.0%,23.0%,11.0%,3.0%,15.0%,4.0%,4.0%,4.0%,8.0%,0.0%,2.0%,0.0%,100.0%
